Stony Brook LIRR	40.920079229587685, -73.12873614988415
Penn Station	40.75057602533385, -73.99349756729525
Empire State Building	40.74848466206268, -73.9856796216145
Central Park	40.76820029059638, -73.98132835018271
Bronx Zoo	40.85073833114527, -73.87825721033548
Statue of Liberty	40.69026952854067, -74.04661037856154
Charging Bull	40.70559419424092, -74.01352296212154
Dumbo	40.70345754750103, -73.98779642832599
Washington Square Park	40.73081873034689, -73.99740710571949
